deployment_name,year,glider,ru_glider,project,nDays,ctd,currents,echosounder,optics,oxygen,pam,ph,telemetry
bios_jack-20250504T1823,2025,bios_jack,False,MAGIC,ongoing,1,0,0,1,1,0,0,0
electa-20250501T1748,2025,electa,False,MARACOOS,ongoing,1,0,0,2,0,0,0,0
ru39-20250423T1535,2025,ru39,True,RMI,ongoing,1,0,1,1,0,0,1,1
ru43-20250423T1533,2025,ru43,True,RMI,ongoing,1,0,0,1,1,1,0,1
ru38-20250414T1500,2025,ru38,True,UGOS GrASE,ongoing,1,1,0,0,1,0,0,0
ru36-20250408T1846,2025,ru36,True,Challenger,19.991666666666667,1,0,0,0,1,1,0,0
maracoos_05-20250404T1319,2025,maracoos_05,True,MARACOOS,27.170833333333334,1,1,0,1,1,0,0,0
bios_minnie-20250403T2117,2025,bios_minnie,False,MAGIC,19.60486111111111,1,0,0,2,1,0,0,0
bios_jack-20250403T1914,2025,bios_jack,False,MAGIC,19.645833333333332,1,1,0,1,1,0,0,0
ru44-20250325T0438,2025,ru44,True,Seaforestation,28.66736111111111,1,0,0,2,1,0,0,0
uvi_01-20250318T2008,2025,uvi_01,False,Caribbean PAM,26.927777777777777,1,0,0,0,1,1,0,0
ru34-20250311T1220,2025,ru34,True,Cod Monitoring,17.995833333333334,1,0,0,1,1,1,0,1
ru44-20250311T0126,2025,ru44,True,Seaforestation,13.03888888888889,1,0,0,2,1,0,0,0
uvi_02-20250306T1911,2025,uvi_02,False,Caribbean PAM,18.040277777777778,1,0,0,0,1,1,0,0
ru44-20250306T0038,2025,ru44,True,Seaforestation,4.200694444444444,1,0,0,2,1,0,0,0
ru23-20250226T1720,2025,ru23,True,MOO Endurance Line,12.915277777777776,1,0,0,2,0,0,0,0
ru40-20250226T1704,2025,ru40,True,RMI,29.961111111111112,1,0,0,1,1,1,0,1
ru39-20250226T1700,2025,ru39,True,RMI,29.97361111111111,1,0,1,1,0,0,1,1
unit_1190-20250224T1405,2025,unit_1190,False,Cod Monitoring,14.940277777777778,1,0,0,0,0,1,0,1
uvi_02-20250211T1347,2025,uvi_02,False,Caribbean PAM,21.052083333333332,1,0,0,1,1,1,0,0
sbu01-20250205T1835,2025,sbu01,False,NYDEC,13.973611111111111,1,0,0,1,1,1,1,0
maracoos_06-20250116T1522,2025,maracoos_06,False,NYSERDA GLIDE,26.032638888888886,1,0,0,1,1,1,0,0
ru34-20250113T1244,2025,ru34,True,Cod Monitoring,42.08472222222222,1,0,0,1,1,1,0,1
ru26d-20250107T1348,2025,ru26d,False,LTER,74.08680555555556,1,0,0,1,0,0,0,0
unit_1190-20241218T1433,2024,unit_1190,False,Cod Monitoring,19.145833333333332,1,0,0,0,0,1,0,1
