sensor,category
instrument_10dofimu,currents
instrument_acousonde,pam
instrument_adcp,currents
instrument_aquadopp,currents
instrument_azfp,echosounder
instrument_bam,optics
instrument_bb2c,optics
instrument_bb2fls,optics
instrument_bb2flslk,optics
instrument_bb3slo,optics
instrument_bbfl2s,optics
instrument_bbfl2slo,optics
instrument_bsipar,optics
instrument_c3_fluorometer,optics
instrument_c3sfl,optics
instrument_ctd,ctd
instrument_ctd_rbr,ctd
instrument_ctd_smru,ctd
instrument_dmon,pam
instrument_dvl,currents
instrument_echosounder,echosounder
instrument_ek80,echosounder
instrument_fire,optics
instrument_fl3slo,optics
instrument_flbb,optics
instrument_flbbbb,optics
instrument_flbbbbv1,optics
instrument_flbbcd,optics
instrument_flbbcdslc,optics
instrument_flbbcdslk,optics
instrument_flbbslc,optics
instrument_flntu,optics
instrument_hydrophone,pam
instrument_lisst,currents
instrument_microrider,currents
instrument_minipat,telemetry
instrument_ocr504i,optics
instrument_ocr504r,optics
instrument_optode,oxygen
instrument_pH,ph
instrument_par,optics
instrument_parad,optics
instrument_ph,ph
instrument_rbrctd,ctd
instrument_rxlive,telemetry
instrument_sam,optics
instrument_suna,optics
instrument_svs,currents
instrument_tagctd,ctd
instrument_vemco,telemetry
instrument_vmt,telemetry
instrument_vr2c_down,telemetry
instrument_vr2c_up,telemetry
instrument_vsf,optics
instrument_vsfslk,optics
